128-37-0;Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C;
85-68-7;CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2;
06/11/3817;None;
869-01-2;CCCCN(N=O)C(N)=O;
3068-88-0;CC1CC(=O)O1;
10108-64-2;[Cl-].[Cl-].[Cd++];
10124-36-4;[Cd++].[O-][S]([O-])(=O)=O;
331-39-5;OC(=O)\C=C/c1ccc(O)c(O)c1;
13765-19-0;[Ca++].[O-][Cr]([O-])(=O)=O;
404-86-4;COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O;
01/06/2425;None;
133-06-2;ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O;
563-41-7;[H+].[Cl-].NNC(N)=O;
63-25-2;CNC(=O)Oc1cccc2ccccc12;
86-74-8;[nH]1c2ccccc2c3ccccc13;
56-23-5;ClC(Cl)(Cl)Cl;
60391-92-6;NC(=O)N(CC(O)=O)N=O;
120-80-9;Oc1ccccc1O;
302-17-0;OC(O)C(Cl)(Cl)Cl;
133-90-4;Nc1cc(Cl)cc(C(O)=O)c1Cl;
305-03-3;OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl;
12789-03-6 ;ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl;
57-74-9;ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl;
115-28-6;OC(=O)C1C(C(O)=O)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl;
108171-26-2;CCC(Cl)C(Cl)C(Cl)CC(Cl)C(Cl)C(C)Cl;
63449-39-8;CCCC(Cl)CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCCC(Cl)CCC;
494-03-1;ClCCN(CCCl)c1ccc2ccccc2c1;
107-20-0;ClCC=O;
20265-96-7;[H+].[Cl-].Nc1ccc(Cl)cc1;
108-90-7;Clc1ccccc1;
510-15-6;CCOC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2;
124-48-1;ClC(Br)Br;
75-00-3;CCCl;
67-66-3;ClC(Cl)Cl;
107-30-2;COCCl;
563-47-3;CC(=C)CCl;
6959-48-4;[H+].[Cl-].ClCc1cccnc1;
88-73-3;[O-][N+](=O)c1ccccc1Cl;
100-00-5;[O-][N+](=O)c1ccc(Cl)cc1;
150-68-5;CN(C)C(=O)Nc1ccc(Cl)cc1;
5131-60-2;Nc1ccc(Cl)c(N)c1;
95-83-0;Nc1ccc(Cl)cc1N;
1897-45-6;Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl;
95-79-4;Cc1ccc(Cl)cc1N;
3165-93-3;[H+].[Cl-].Cc1cc(Cl)ccc1N;
75-88-7;FC(F)(F)CCl;
54749-90-5;OCC1OC(O)C(NC(=O)N(CCCl)N=O)C(O)C1O;
69-09-0;[H+].[Cl-].CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13;
81-55-0;Oc1ccc(c2C(=O)c3c(ccc(O)c3C(=O)c12)[N+]([O-])=O)[N+]([O-])=O;
6373-74-6;[Na+].[O-][N+](=O)c1ccc(Nc2ccc(Nc3ccccc3)c(c2)[S]([O-])(=O)=O)c(c1)[N+]([O-])=O;
6459-94-5;[Na+].[Na+].Cc1ccc(cc1)[S](=O)(=O)Oc2ccc(cc2)N=Nc3ccc(cc3C)c4ccc(N\N=C5\C(=O)C=Cc6cc(cc(c56)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4;
569-61-9;[H+].[Cl-].Nc1ccc(cc1)C(c2ccc(N)cc2)=C3C=CC(=N)C=C3;
1937-37-7;None;
72-57-1;[Na+].[Na+].[Na+].[Na+].Cc1cc(ccc1N\N=C/2C(=O)c3c(N)cc(cc3C=C2[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N\N=C/5C(=O)c6c(N)cc(cc6C=C5[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4;
28407-37-6;[Na+].[Na+].[Na+].[Na+].[Cu]|1|Oc2cc(ccc2N\N=C\3C(=O|1)c4c(N)cc(cc4C=C3[S]([O-])(=O)=O)[S]([O-])(=O)=O)c5ccc6N\N=C\7C(=O|[Cu]|Oc6c5)c8c(N)cc(cc8C=C7[S]([O-])(=O)=O)[S]([O-])(=O)=O;
2475-45-8;Nc1ccc(N)c2C(=O)c3c(N)ccc(N)c3C(=O)c12;
82-28-0;Cc1ccc2C(=O)c3ccccc3C(=O)c2c1N;
