43;64700-56-7;O=C(OCCOCCCC)COc1nc(c(cc1Cl)Cl)Cl;0;TS;0,03;non-mutagenic;0,29;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,909;0,827;1;1;True;1;non-mutagenic;;0,76;0,8;1;1;0,85;non-mutagenic;0;1;SM202;0,909;0,827;1;1;1;non-mutagenic;4;0,918;0,842;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
45;34052-90-9;N1=C(OCC1)c2cccc(c2)C3=NCCO3;1;TS;0,95;mutagenic;0,5;non-mutagenic;0,33;non-mutagenic;non-mutagenic;;0,758;0,795;1;1;True;0,85;non-mutagenic;;0,537;0,8;1;1;0,6;non-mutagenic;0;0;;0,758;0,795;1;1;0,85;non-mutagenic;4;0,466;0,801;0,753;0,753;0,6;non-mutagenic;non-mutagenic;non-mutagenic
46;4220-30-8;N#CCCN(CCC#N)CC(O)CO;0;TS;0,05;non-mutagenic;-0,16;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,696;0,837;1;0,335;True;1;non-mutagenic;;0;0,835;1;0;1;non-mutagenic;0;4;"SM165; SM176; SM179; SM192";0,696;0,837;1;0,335;1;mutagenic;4;0,907;0,823;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
47;90327-04-1;O=C(Oc1c(cc(cc1C(c2cc(cc(c2(O))C)C)CC(C)CC(C)(C)C)C)C)c3ccccc3;0;TS;0,15;non-mutagenic;0,34;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,897;0,804;1;1;True;1;non-mutagenic;;0,877;0,77;1;1;1;non-mutagenic;0;3;"SM141; SM169; SM182";0,897;0,804;1;1;1;non-mutagenic;4;0,894;0,8;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
48;67304-25-0;OC(C[N+](C)(C)Cc1ccccc1)CCl;1;TS;;;0,37;non-mutagenic;0,33;non-mutagenic;mutagenic;SA8 Aliphatic halogens;0,922;0,85;1;1;True;1;mutagenic;SA8 Aliphatic halogens;0,544;0,809;0,506;0,506;0,85;mutagenic;1;2;"SM106; SM175; SM176";0,922;0,85;1;1;1;non-mutagenic;4;0,805;0,861;0,753;0,753;1;mutagenic;non-mutagenic;mutagenic
49;75451-06-8;O=Cc2cccc(OC)c2(Oc1ccc(cc1[N+](=O)[O-])C(=O)OCC);0;TS;0,39;non-mutagenic;0,92;mutagenic;0,67;mutagenic;mutagenic;SA27 Nitro aromatic;0,926;0,857;1;1;True;1;mutagenic;"SA11 Simple aldehyde; SA27 Nitro aromatic";0,534;0,787;0,502;0,502;0,85;mutagenic;1;2;"SM52; SM146; SM170";0,926;0,857;1;1;1;mutagenic;4;0,804;0,857;0,754;0,754;1;mutagenic;mutagenic;mutagenic
50;80921-09-1;O=C(O)CC[N+](C)(C)CCCNC(=O)C(=C)C;0;TS;;;-0,24;non-mutagenic;0,67;mutagenic;non-mutagenic;;0,89;0,792;1;1;True;1;mutagenic;SA10 alfa, beta unsaturated carbonyls;0,514;0,734;0,499;0,499;0,85;non-mutagenic;0;1;SM175;0,802;0,792;0,661;1;1;non-mutagenic;4;0,895;0,801;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
51;723-38-6;Oc1cc(c(O)cc1C)C(C)(C)CC(C)(C)C;0;TS;-0,01;non-mutagenic;0,04;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,94;0,884;1;1;True;1;non-mutagenic;;0,939;0,881;1;1;1;non-mutagenic;0;1;SM182;0,94;0,884;1;1;1;non-mutagenic;4;0,94;0,883;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
52;59032-27-8;n1cc(n[nH]1)S;0;TS;0,15;non-mutagenic;0,47;non-mutagenic;0,33;non-mutagenic;non-mutagenic;;0,717;0,759;0,673;0,679;True;1;non-mutagenic;;0;0,756;0;0,515;0,7;non-mutagenic;0;0;;0,718;0,759;0,679;0,679;1;non-mutagenic;4;0,682;0,749;0,755;0,511;1;non-mutagenic;non-mutagenic;non-mutagenic
53;80156-94-1;O=S(=O)(O)OCCS(=O)(=O)c1cccc(c1)Nc2nc(nc(n2)Cl)Nc6ccc(c(N=Nc3c(O)c5c(cc3S(=O)(=O)O)cc(c(N=Nc4ccc(cc4)S(=O)(=O)O)c5(N))S(=O)(=O)O)c6)S(=O)(=O)O;0;TS;0,01;non-mutagenic;-0,68;non-mutagenic;0,33;non-mutagenic;non-mutagenic;;0;0,828;1;0;True;0,85;non-mutagenic;;0;0,828;1;0;0,51;mutagenic;3;3;"SM70; SM74; SM95; SM120; SM168; SM205";0,773;0,828;1;1;0,85;mutagenic;4;0,764;0,808;1;1;0,85;non-mutagenic;non-mutagenic;non-mutagenic
